Textbox52,CategoryCode,CategoryName,DisplayPrice,TotalCount,SoldCount,AvailCount
"Classic Antarctica Air-Cruise OCN08-CA_2023-24
Start: 12/22/2023 End: 12/29/2023
Vessel: Ocean Nova",TWN,Twin Cabin,"$15,595.00",23,23.0,0.0
"Classic Antarctica Air-Cruise OCN08-CA_2023-24
Start: 12/22/2023 End: 12/29/2023
Vessel: Ocean Nova",TWNF,Twin Cabin - Female Share,"$15,595.00",2,2.0,0.0
"Classic Antarctica Air-Cruise OCN08-CA_2023-24
Start: 12/22/2023 End: 12/29/2023
Vessel: Ocean Nova",TWNM,Twin Cabin - Male Share,"$15,595.00",2,2.0,0.0
"Classic Antarctica Air-Cruise OCN08-CA_2023-24
Start: 12/22/2023 End: 12/29/2023
Vessel: Ocean Nova",TRP,Triple Cabin,"$13,495.00",3,3.0,0.0
"Classic Antarctica Air-Cruise OCN08-CA_2023-24
Start: 12/22/2023 End: 12/29/2023
Vessel: Ocean Nova",KAY,Sea Kayaking,$895.00,10,10.0,0.0
"Classic Antarctica Air-Cruise OCN08-CA_2024-25
Start: 12/22/2024 End: 12/29/2024
Vessel: Ocean Nova",SGL,Single Cabin,"$21,995.00",4,0.0,4.0
"Classic Antarctica Air-Cruise OCN08-CA_2024-25
Start: 12/22/2024 End: 12/29/2024
Vessel: Ocean Nova",TWN,Twin Cabin,"$15,795.00",23,14.0,9.0
"Classic Antarctica Air-Cruise OCN08-CA_2024-25
Start: 12/22/2024 End: 12/29/2024
Vessel: Ocean Nova",TWNF,Twin Cabin - Female Share,"$15,795.00",2,0.0,2.0
"Classic Antarctica Air-Cruise OCN08-CA_2024-25
Start: 12/22/2024 End: 12/29/2024
Vessel: Ocean Nova",TWNM,Twin Cabin - Male Share,"$15,795.00",2,0.0,2.0
"Classic Antarctica Air-Cruise OCN08-CA_2024-25
Start: 12/22/2024 End: 12/29/2024
Vessel: Ocean Nova",TRP,Triple Cabin,"$13,595.00",3,0.0,3.0
"Classic Antarctica Air-Cruise OCN08-CA_2024-25
Start: 12/22/2024 End: 12/29/2024
Vessel: Ocean Nova",KAY,Sea Kayaking,$895.00,10,0.0,10.0
"Classic Antarctica Air-Cruise OCN09-CA_2023-24
Start: 12/27/2023 End: 1/3/2024
Vessel: Ocean Nova",SGL,Single Cabin,"$21,995.00",4,1.0,3.0
"Classic Antarctica Air-Cruise OCN09-CA_2023-24
Start: 12/27/2023 End: 1/3/2024
Vessel: Ocean Nova",TWN,Twin Cabin,"$15,595.00",27,27.0,0.0
"Classic Antarctica Air-Cruise OCN09-CA_2023-24
Start: 12/27/2023 End: 1/3/2024
Vessel: Ocean Nova",TRP,Triple Cabin,"$13,495.00",3,3.0,0.0
"Classic Antarctica Air-Cruise OCN09-CA_2023-24
Start: 12/27/2023 End: 1/3/2024
Vessel: Ocean Nova",KAY,Sea Kayaking,$895.00,10,10.0,0.0
"Classic Antarctica Air-Cruise OCN09-CA_2024-25
Start: 12/27/2024 End: 1/3/2025
Vessel: Ocean Nova",SGL,Single Cabin,"$21,995.00",4,0.0,4.0
"Classic Antarctica Air-Cruise OCN09-CA_2024-25
Start: 12/27/2024 End: 1/3/2025
Vessel: Ocean Nova",TWN,Twin Cabin,"$15,795.00",23,18.0,5.0
"Classic Antarctica Air-Cruise OCN09-CA_2024-25
Start: 12/27/2024 End: 1/3/2025
Vessel: Ocean Nova",TWNF,Twin Cabin - Female Share,"$15,795.00",2,0.0,2.0
"Classic Antarctica Air-Cruise OCN09-CA_2024-25
Start: 12/27/2024 End: 1/3/2025
Vessel: Ocean Nova",TWNM,Twin Cabin - Male Share,"$15,795.00",2,0.0,2.0
"Classic Antarctica Air-Cruise OCN09-CA_2024-25
Start: 12/27/2024 End: 1/3/2025
Vessel: Ocean Nova",TRP,Triple Cabin,"$13,595.00",3,1.0,2.0
"Classic Antarctica Air-Cruise OCN09-CA_2024-25
Start: 12/27/2024 End: 1/3/2025
Vessel: Ocean Nova",KAY,Sea Kayaking,$895.00,10,6.0,4.0
"Classic Antarctica Air-Cruise OCN12-CA_2023-24
Start: 1/17/2024 End: 1/24/2024
Vessel: Ocean Nova",SGL,Single Cabin,"$21,995.00",4,4.0,0.0
"Classic Antarctica Air-Cruise OCN12-CA_2023-24
Start: 1/17/2024 End: 1/24/2024
Vessel: Ocean Nova",TWN,Twin Cabin,"$15,595.00",24,23.0,1.0
"Classic Antarctica Air-Cruise OCN12-CA_2023-24
Start: 1/17/2024 End: 1/24/2024
Vessel: Ocean Nova",TWNF,Twin Cabin - Female Share,"$15,595.00",2,1.5,0.5
"Classic Antarctica Air-Cruise OCN12-CA_2023-24
Start: 1/17/2024 End: 1/24/2024
Vessel: Ocean Nova",TWNM,Twin Cabin - Male Share,"$15,595.00",1,0.0,1.0
"Classic Antarctica Air-Cruise OCN12-CA_2023-24
Start: 1/17/2024 End: 1/24/2024
Vessel: Ocean Nova",TRP,Triple Cabin,"$13,595.00",3,3.0,0.0
"Classic Antarctica Air-Cruise OCN12-CA_2023-24
Start: 1/17/2024 End: 1/24/2024
Vessel: Ocean Nova",KAY,Sea Kayaking,$895.00,10,10.0,0.0
"Classic Antarctica Air-Cruise OCN12-CA_2024-25
Start: 1/17/2025 End: 1/24/2025
Vessel: Ocean Nova",SGL,Single Cabin,"$21,995.00",4,1.0,3.0
"Classic Antarctica Air-Cruise OCN12-CA_2024-25
Start: 1/17/2025 End: 1/24/2025
Vessel: Ocean Nova",TWN,Twin Cabin,"$15,795.00",23,7.0,16.0
"Classic Antarctica Air-Cruise OCN12-CA_2024-25
Start: 1/17/2025 End: 1/24/2025
Vessel: Ocean Nova",TWNF,Twin Cabin - Female Share,"$15,795.00",2,0.0,2.0
"Classic Antarctica Air-Cruise OCN12-CA_2024-25
Start: 1/17/2025 End: 1/24/2025
Vessel: Ocean Nova",TWNM,Twin Cabin - Male Share,"$15,795.00",2,0.5,1.5
"Classic Antarctica Air-Cruise OCN12-CA_2024-25
Start: 1/17/2025 End: 1/24/2025
Vessel: Ocean Nova",TRP,Triple Cabin,"$13,595.00",3,1.0,2.0
"Classic Antarctica Air-Cruise OCN12-CA_2024-25
Start: 1/17/2025 End: 1/24/2025
Vessel: Ocean Nova",KAY,Sea Kayaking,$895.00,10,2.0,8.0
"Classic Antarctica Air-Cruise OCN13-CA_2023-24
Start: 1/22/2024 End: 1/29/2024
Vessel: Ocean Nova",SGL,Single Cabin,"$21,995.00",4,3.0,1.0
"Classic Antarctica Air-Cruise OCN13-CA_2023-24
Start: 1/22/2024 End: 1/29/2024
Vessel: Ocean Nova",TWN,Twin Cabin,"$15,595.00",23,17.0,6.0
"Classic Antarctica Air-Cruise OCN13-CA_2023-24
Start: 1/22/2024 End: 1/29/2024
Vessel: Ocean Nova",TWNF,Twin Cabin - Female Share,"$15,595.00",2,0.0,2.0
"Classic Antarctica Air-Cruise OCN13-CA_2023-24
Start: 1/22/2024 End: 1/29/2024
Vessel: Ocean Nova",TWNM,Twin Cabin - Male Share,"$15,595.00",2,0.0,2.0
"Classic Antarctica Air-Cruise OCN13-CA_2023-24
Start: 1/22/2024 End: 1/29/2024
Vessel: Ocean Nova",TRP,Triple Cabin,"$13,595.00",3,3.0,0.0
"Classic Antarctica Air-Cruise OCN13-CA_2023-24
Start: 1/22/2024 End: 1/29/2024
Vessel: Ocean Nova",KAY,Sea Kayaking,$895.00,10,9.0,1.0
"Classic Antarctica Air-Cruise OCN13-CA_2024-25
Start: 1/22/2025 End: 1/29/2025
Vessel: Ocean Nova",SGL,Single Cabin,"$21,995.00",4,0.0,4.0
"Classic Antarctica Air-Cruise OCN13-CA_2024-25
Start: 1/22/2025 End: 1/29/2025
Vessel: Ocean Nova",TWN,Twin Cabin,"$15,795.00",23,2.0,21.0
"Classic Antarctica Air-Cruise OCN13-CA_2024-25
Start: 1/22/2025 End: 1/29/2025
Vessel: Ocean Nova",TWNF,Twin Cabin - Female Share,"$15,795.00",2,1.0,1.0
"Classic Antarctica Air-Cruise OCN13-CA_2024-25
Start: 1/22/2025 End: 1/29/2025
Vessel: Ocean Nova",TWNM,Twin Cabin - Male Share,"$15,795.00",2,0.5,1.5
"Classic Antarctica Air-Cruise OCN13-CA_2024-25
Start: 1/22/2025 End: 1/29/2025
Vessel: Ocean Nova",TRP,Triple Cabin,"$13,595.00",3,1.0,2.0
"Classic Antarctica Air-Cruise OCN13-CA_2024-25
Start: 1/22/2025 End: 1/29/2025
Vessel: Ocean Nova",KAY,Sea Kayaking,$895.00,10,4.0,6.0
"Classic Antarctica Air-Cruise OCN14-CA_2023-24
Start: 1/27/2024 End: 2/3/2024
Vessel: Ocean Nova",SGL,Single Cabin,"$21,995.00",4,2.0,2.0
"Classic Antarctica Air-Cruise OCN14-CA_2023-24
Start: 1/27/2024 End: 2/3/2024
Vessel: Ocean Nova",TWN,Twin Cabin,"$15,595.00",23,16.0,7.0
"Classic Antarctica Air-Cruise OCN14-CA_2023-24
Start: 1/27/2024 End: 2/3/2024
Vessel: Ocean Nova",TWNF,Twin Cabin - Female Share,"$15,595.00",2,1.0,1.0
"Classic Antarctica Air-Cruise OCN14-CA_2023-24
Start: 1/27/2024 End: 2/3/2024
Vessel: Ocean Nova",TWNM,Twin Cabin - Male Share,"$15,595.00",2,0.0,2.0
"Classic Antarctica Air-Cruise OCN14-CA_2023-24
Start: 1/27/2024 End: 2/3/2024
Vessel: Ocean Nova",TRP,Triple Cabin,"$13,595.00",3,0.0,3.0
"Classic Antarctica Air-Cruise OCN14-CA_2023-24
Start: 1/27/2024 End: 2/3/2024
Vessel: Ocean Nova",KAY,Sea Kayaking,$895.00,10,9.0,1.0
"Classic Antarctica Air-Cruise OCN15-CA_2023-24
Start: 2/1/2024 End: 2/8/2024
Vessel: Ocean Nova",SGL,Single Cabin,"$21,995.00",4,4.0,0.0
"Classic Antarctica Air-Cruise OCN15-CA_2023-24
Start: 2/1/2024 End: 2/8/2024
Vessel: Ocean Nova",TWN,Twin Cabin,"$15,595.00",23,20.0,3.0
"Classic Antarctica Air-Cruise OCN15-CA_2023-24
Start: 2/1/2024 End: 2/8/2024
Vessel: Ocean Nova",TWNF,Twin Cabin - Female Share,"$15,595.00",2,1.0,1.0
"Classic Antarctica Air-Cruise OCN15-CA_2023-24
Start: 2/1/2024 End: 2/8/2024
Vessel: Ocean Nova",TWNM,Twin Cabin - Male Share,"$15,595.00",2,0.0,2.0
"Classic Antarctica Air-Cruise OCN15-CA_2023-24
Start: 2/1/2024 End: 2/8/2024
Vessel: Ocean Nova",TRP,Triple Cabin,"$13,595.00",3,1.0,2.0
"Classic Antarctica Air-Cruise OCN15-CA_2023-24
Start: 2/1/2024 End: 2/8/2024
Vessel: Ocean Nova",KAY,Sea Kayaking,$895.00,10,8.0,2.0
"Classic Antarctica Air-Cruise OCN15-CA_2024-25
Start: 2/1/2025 End: 2/8/2025
Vessel: Ocean Nova",SGL,Single Cabin,"$21,995.00",4,0.0,4.0
"Classic Antarctica Air-Cruise OCN15-CA_2024-25
Start: 2/1/2025 End: 2/8/2025
Vessel: Ocean Nova",TWN,Twin Cabin,"$15,795.00",23,0.0,23.0
"Classic Antarctica Air-Cruise OCN15-CA_2024-25
Start: 2/1/2025 End: 2/8/2025
Vessel: Ocean Nova",TWNF,Twin Cabin - Female Share,"$15,795.00",2,0.0,2.0
"Classic Antarctica Air-Cruise OCN15-CA_2024-25
Start: 2/1/2025 End: 2/8/2025
Vessel: Ocean Nova",TWNM,Twin Cabin - Male Share,"$15,795.00",2,0.0,2.0
"Classic Antarctica Air-Cruise OCN15-CA_2024-25
Start: 2/1/2025 End: 2/8/2025
Vessel: Ocean Nova",TRP,Triple Cabin,"$13,595.00",3,0.0,3.0
"Classic Antarctica Air-Cruise OCN15-CA_2024-25
Start: 2/1/2025 End: 2/8/2025
Vessel: Ocean Nova",KAY,Sea Kayaking,$895.00,10,0.0,10.0
"Classic Antarctica Air-Cruise OCN16-CA_2024-25 
Start: 2/6/2025 End: 2/13/2025
Vessel: Ocean Nova",SGL,Single Cabin,"$21,995.00",4,0.0,4.0
"Classic Antarctica Air-Cruise OCN16-CA_2024-25 
Start: 2/6/2025 End: 2/13/2025
Vessel: Ocean Nova",TWN,Twin Cabin,"$15,795.00",24,9.0,15.0
"Classic Antarctica Air-Cruise OCN16-CA_2024-25 
Start: 2/6/2025 End: 2/13/2025
Vessel: Ocean Nova",TWNF,Twin Cabin - Female Share,"$15,795.00",1,0.0,1.0
"Classic Antarctica Air-Cruise OCN16-CA_2024-25 
Start: 2/6/2025 End: 2/13/2025
Vessel: Ocean Nova",TWNM,Twin Cabin - Male Share,"$15,795.00",2,0.0,2.0
"Classic Antarctica Air-Cruise OCN16-CA_2024-25 
Start: 2/6/2025 End: 2/13/2025
Vessel: Ocean Nova",TRP,Triple Cabin,"$13,595.00",3,0.0,3.0
"Classic Antarctica Air-Cruise OCN16-CA_2024-25 
Start: 2/6/2025 End: 2/13/2025
Vessel: Ocean Nova",KAY,Sea Kayaking,$895.00,10,0.0,10.0
"Classic Antarctica Air-Cruise OCN17-CA_2023-24
Start: 2/11/2024 End: 2/18/2024
Vessel: Ocean Nova",SGL,Single Cabin,"$21,995.00",4,4.0,0.0
"Classic Antarctica Air-Cruise OCN17-CA_2023-24
Start: 2/11/2024 End: 2/18/2024
Vessel: Ocean Nova",TWN,Twin Cabin,"$15,595.00",25,25.0,0.0
"Classic Antarctica Air-Cruise OCN17-CA_2023-24
Start: 2/11/2024 End: 2/18/2024
Vessel: Ocean Nova",TWNF,Twin Cabin - Female Share,"$15,595.00",1,1.0,0.0
"Classic Antarctica Air-Cruise OCN17-CA_2023-24
Start: 2/11/2024 End: 2/18/2024
Vessel: Ocean Nova",TWNM,Twin Cabin - Male Share,"$15,595.00",1,1.0,0.0
"Classic Antarctica Air-Cruise OCN17-CA_2023-24
Start: 2/11/2024 End: 2/18/2024
Vessel: Ocean Nova",TRP,Triple Cabin,"$13,595.00",3,3.0,0.0
"Classic Antarctica Air-Cruise OCN17-CA_2023-24
Start: 2/11/2024 End: 2/18/2024
Vessel: Ocean Nova",KAY,Sea Kayaking,$895.00,10,10.0,0.0
"Classic Antarctica Air-Cruise OCN17-CA_2024-25 
Start: 2/11/2025 End: 2/18/2025
Vessel: Ocean Nova",SGL,Single Cabin,"$21,995.00",4,0.0,4.0
"Classic Antarctica Air-Cruise OCN17-CA_2024-25 
Start: 2/11/2025 End: 2/18/2025
Vessel: Ocean Nova",TWN,Twin Cabin,"$15,795.00",23,9.0,14.0
"Classic Antarctica Air-Cruise OCN17-CA_2024-25 
Start: 2/11/2025 End: 2/18/2025
Vessel: Ocean Nova",TWNF,Twin Cabin - Female Share,"$15,795.00",2,0.0,2.0
"Classic Antarctica Air-Cruise OCN17-CA_2024-25 
Start: 2/11/2025 End: 2/18/2025
Vessel: Ocean Nova",TWNM,Twin Cabin - Male Share,"$15,795.00",2,1.0,1.0
"Classic Antarctica Air-Cruise OCN17-CA_2024-25 
Start: 2/11/2025 End: 2/18/2025
Vessel: Ocean Nova",TRP,Triple Cabin,"$13,595.00",3,1.0,2.0
"Classic Antarctica Air-Cruise OCN17-CA_2024-25 
Start: 2/11/2025 End: 2/18/2025
Vessel: Ocean Nova",KAY,Sea Kayaking,$895.00,10,0.0,10.0
"Falklands (Malvinas) & South Georgia MAG04-FS_2024-25 (PUQ-PUQ) 
Start: 10/9/2024 End: 10/25/2024
Vessel: Magellan Explorer",PEN,Penthouse Suite,"$15,995.00",3,3.0,0.0
"Falklands (Malvinas) & South Georgia MAG04-FS_2024-25 (PUQ-PUQ) 
Start: 10/9/2024 End: 10/25/2024
Vessel: Magellan Explorer",SGL,Single Veranda Cabin,"$23,995.00",1,0.0,1.0
"Falklands (Malvinas) & South Georgia MAG04-FS_2024-25 (PUQ-PUQ) 
Start: 10/9/2024 End: 10/25/2024
Vessel: Magellan Explorer",SUT,Suite,"$25,990.00",1,0.0,1.0
"Falklands (Malvinas) & South Georgia MAG04-FS_2024-25 (PUQ-PUQ) 
Start: 10/9/2024 End: 10/25/2024
Vessel: Magellan Explorer",DEL,Deluxe Veranda Cabin,"$13,995.00",24,6.0,18.0
"Falklands (Malvinas) & South Georgia MAG04-FS_2024-25 (PUQ-PUQ) 
Start: 10/9/2024 End: 10/25/2024
Vessel: Magellan Explorer",VER,Veranda Cabin,"$12,995.00",10,10.0,0.0
"Falklands (Malvinas) & South Georgia MAG04-FS_2024-25 (PUQ-PUQ) 
Start: 10/9/2024 End: 10/25/2024
Vessel: Magellan Explorer",POR,Porthole Cabin,"$9,995.00",5,5.0,0.0
"Falklands (Malvinas) & South Georgia MAG04-FS_2024-25 (PUQ-PUQ) 
Start: 10/9/2024 End: 10/25/2024
Vessel: Magellan Explorer",PORM,Porthole Cabin - Male Share,"$9,995.00",1,1.0,0.0
"Falklands (Malvinas) & South Georgia MAG04-FS_2024-25 (PUQ-PUQ) 
Start: 10/9/2024 End: 10/25/2024
Vessel: Magellan Explorer",TRP,Triple Suite,"$16,995.00",1,0.0,1.0
"Falklands (Malvinas) & South Georgia MAG04-FS_2024-25 (PUQ-PUQ) 
Start: 10/9/2024 End: 10/25/2024
Vessel: Magellan Explorer",KAY,Sea Kayaking,$995.00,10,8.0,2.0
"Falklands (Malvinas), South Georgia & Antarctica MAG05-SG_2023-24 (MPN-USH) 
Start: 10/28/2023 End: 11/16/2023
Vessel: Magellan Explorer",PEN,Penthouse Suite,"$19,995.00",3,3.0,0.0
"Falklands (Malvinas), South Georgia & Antarctica MAG05-SG_2023-24 (MPN-USH) 
Start: 10/28/2023 End: 11/16/2023
Vessel: Magellan Explorer",DEL,Deluxe Veranda Cabin,"$17,995.00",25,19.0,6.0
"Falklands (Malvinas), South Georgia & Antarctica MAG05-SG_2023-24 (MPN-USH) 
Start: 10/28/2023 End: 11/16/2023
Vessel: Magellan Explorer",DEL-S,Deluxe Veranda Cabin - Single Occupancy,"$17,995.00",1,1.0,0.0
"Falklands (Malvinas), South Georgia & Antarctica MAG05-SG_2023-24 (MPN-USH) 
Start: 10/28/2023 End: 11/16/2023
Vessel: Magellan Explorer",DVF,Deluxe Veranda Cabin - Female Sharing,"$17,995.00",1,1.0,0.0
"Falklands (Malvinas), South Georgia & Antarctica MAG05-SG_2023-24 (MPN-USH) 
Start: 10/28/2023 End: 11/16/2023
Vessel: Magellan Explorer",DVM,Deluxe Veranda Cabin - Male Sharing,"$17,995.00",1,1.0,0.0
"Falklands (Malvinas), South Georgia & Antarctica MAG05-SG_2023-24 (MPN-USH) 
Start: 10/28/2023 End: 11/16/2023
Vessel: Magellan Explorer",VER,Veranda Cabin,"$16,995.00",9,7.0,2.0
"Falklands (Malvinas), South Georgia & Antarctica MAG05-SG_2023-24 (MPN-USH) 
Start: 10/28/2023 End: 11/16/2023
Vessel: Magellan Explorer",VERF,Veranda Cabin - Female Share,"$16,995.00",1,1.0,0.0
"Falklands (Malvinas), South Georgia & Antarctica MAG05-SG_2023-24 (MPN-USH) 
Start: 10/28/2023 End: 11/16/2023
Vessel: Magellan Explorer",VERS,Veranda Cabin - Share,"$16,995.00",1,1.0,0.0
"Falklands (Malvinas), South Georgia & Antarctica MAG05-SG_2023-24 (MPN-USH) 
Start: 10/28/2023 End: 11/16/2023
Vessel: Magellan Explorer",POR,Porthole Cabin,"$14,995.00",5,4.0,1.0
"Falklands (Malvinas), South Georgia & Antarctica MAG05-SG_2023-24 (MPN-USH) 
Start: 10/28/2023 End: 11/16/2023
Vessel: Magellan Explorer",PORF,Porthole Cabin - Female Share,"$14,995.00",1,1.0,0.0
"Falklands (Malvinas), South Georgia & Antarctica MAG05-SG_2023-24 (MPN-USH) 
Start: 10/28/2023 End: 11/16/2023
Vessel: Magellan Explorer",KAY,Sea Kayaking,$995.00,10,4.0,6.0
"Patagonia & Chilean Fjords Expedition MAG02-CF_2024-25 (Puerto Montt - Ushuaia) 
Start: 9/13/2024 End: 9/21/2024
Vessel: Magellan Explorer",SGL,Single Veranda Cabin,"$8,995.00",1,1.0,0.0
"Patagonia & Chilean Fjords Expedition MAG02-CF_2024-25 (Puerto Montt - Ushuaia) 
Start: 9/13/2024 End: 9/21/2024
Vessel: Magellan Explorer",PEN,Penthouse Suite,"$8,995.00",3,1.0,2.0
"Patagonia & Chilean Fjords Expedition MAG02-CF_2024-25 (Puerto Montt - Ushuaia) 
Start: 9/13/2024 End: 9/21/2024
Vessel: Magellan Explorer",SUT,Suite,"$8,595.00",1,0.0,1.0
"Patagonia & Chilean Fjords Expedition MAG02-CF_2024-25 (Puerto Montt - Ushuaia) 
Start: 9/13/2024 End: 9/21/2024
Vessel: Magellan Explorer",DEL,Deluxe Veranda Cabin,"$7,495.00",24,6.0,18.0
"Patagonia & Chilean Fjords Expedition MAG02-CF_2024-25 (Puerto Montt - Ushuaia) 
Start: 9/13/2024 End: 9/21/2024
Vessel: Magellan Explorer",VER,Veranda Cabin,"$6,995.00",8,1.0,7.0
"Patagonia & Chilean Fjords Expedition MAG02-CF_2024-25 (Puerto Montt - Ushuaia) 
Start: 9/13/2024 End: 9/21/2024
Vessel: Magellan Explorer",VERF,Veranda Cabin - Female Share,"$6,995.00",1,0.5,0.5
"Patagonia & Chilean Fjords Expedition MAG02-CF_2024-25 (Puerto Montt - Ushuaia) 
Start: 9/13/2024 End: 9/21/2024
Vessel: Magellan Explorer",VERM,Veranda Cabin - Male Share,"$6,995.00",1,0.5,0.5
